entity_id,state,last_changed
sensor.multisensor_raw_air_quality,343.6173,2025-09-12T15:57:01.817Z
sensor.multisensor_raw_air_quality,343.4551,2025-09-12T16:02:01.798Z
sensor.multisensor_raw_air_quality,342.3082,2025-09-12T16:07:01.795Z
sensor.multisensor_raw_air_quality,340.9786,2025-09-12T16:12:01.832Z
sensor.multisensor_raw_air_quality,337.3857,2025-09-12T16:17:01.794Z
sensor.multisensor_raw_air_quality,333.0867,2025-09-12T16:22:01.814Z
sensor.multisensor_raw_air_quality,333.4531,2025-09-12T16:27:01.805Z
sensor.multisensor_raw_air_quality,330.2908,2025-09-12T16:32:01.904Z
sensor.multisensor_raw_air_quality,328.5694,2025-09-12T16:37:01.800Z
sensor.multisensor_raw_air_quality,327.0122,2025-09-12T16:42:01.823Z
sensor.multisensor_raw_air_quality,324.0194,2025-09-12T16:47:01.812Z
sensor.multisensor_raw_air_quality,326.0255,2025-09-12T16:52:01.864Z
sensor.multisensor_raw_air_quality,328.5694,2025-09-12T16:57:01.810Z
sensor.multisensor_raw_air_quality,330.101,2025-09-12T17:02:01.810Z
sensor.multisensor_raw_air_quality,331.7928,2025-09-12T17:07:01.843Z
sensor.multisensor_raw_air_quality,333.6357,2025-09-12T17:12:01.946Z
sensor.multisensor_raw_air_quality,335.4418,2025-09-12T17:17:01.853Z
sensor.multisensor_raw_air_quality,337.2102,2025-09-12T17:22:01.840Z
sensor.multisensor_raw_air_quality,337.7337,2025-09-12T17:27:01.824Z
sensor.multisensor_raw_air_quality,338.2541,2025-09-12T17:32:01.858Z
sensor.multisensor_raw_air_quality,336.5071,2025-09-12T17:37:01.848Z
sensor.multisensor_raw_air_quality,336.3306,2025-09-12T17:42:01.839Z
sensor.multisensor_raw_air_quality,334.1816,2025-09-12T17:47:01.837Z
sensor.multisensor_raw_air_quality,331.9785,2025-09-12T17:52:01.842Z
sensor.multisensor_raw_air_quality,331.2327,2025-09-12T17:57:01.851Z
sensor.multisensor_raw_air_quality,329.3388,2025-09-12T18:02:01.989Z
sensor.multisensor_raw_air_quality,328.1826,2025-09-12T18:07:02.021Z
sensor.multisensor_raw_air_quality,327.2082,2025-09-12T18:12:01.844Z
sensor.multisensor_raw_air_quality,326.8153,2025-09-12T18:17:01.895Z
sensor.multisensor_raw_air_quality,325.6276,2025-09-12T18:22:01.852Z
sensor.multisensor_raw_air_quality,324.4235,2025-09-12T18:27:01.886Z
sensor.multisensor_raw_air_quality,323.8163,2025-09-12T18:32:01.888Z
sensor.multisensor_raw_air_quality,323.4081,2025-09-12T18:37:01.894Z
sensor.multisensor_raw_air_quality,321.9684,2025-09-12T18:42:01.873Z
sensor.multisensor_raw_air_quality,321.553,2025-09-12T18:47:01.896Z
sensor.multisensor_raw_air_quality,320.7163,2025-09-12T18:52:01.873Z
sensor.multisensor_raw_air_quality,321.3449,2025-09-12T18:57:01.863Z
sensor.multisensor_raw_air_quality,320.9265,2025-09-12T19:02:01.874Z
sensor.multisensor_raw_air_quality,319.8724,2025-09-12T19:07:01.870Z
